ID,Name,Age,Gender,Sales,Profit,Date,Category,Discount
95,Alice,35,nan,100,,15/02/2023,nan,10
96,Charlie,35,nan,,20,01/01/2023,nan,N/A
97,Eve,30,Male,400,10,InvalidDate,nan,5
98,Bob,25,Female,400,40,InvalidDate,Clothing,20
99,Bob,30,nan,300,30,nan,Clothing,N/A
100,Alice,25,Other,400,,nan,nan,10
101,David,30,Other,100,20,01/01/2023,Furniture,20
102,Alice,30,Female,400,40,nan,Grocery,20
103,David,,Male,100,30,nan,Grocery,20
104,Bob,30,Female,100,30,InvalidDate,Electronics,20
105,Alice,35,nan,200,40,InvalidDate,Grocery,20
106,Eve,30,Male,300,20,nan,Grocery,10
107,Charlie,25,Male,,30,01/01/2023,Furniture,5
108,David,30,nan,100,,nan,Grocery,15
109,Charlie,20,Other,300,10,01/01/2023,Furniture,5
110,Charlie,25,nan,,,nan,Clothing,15
111,Alice,20,Female,400,30,InvalidDate,Furniture,N/A
112,Charlie,25,nan,300,10,InvalidDate,Clothing,20
113,Eve,35,Other,300,40,01/01/2023,Furniture,N/A
114,Charlie,35,nan,300,10,nan,nan,N/A
115,Alice,35,Female,400,10,nan,Clothing,15
116,Eve,20,Female,400,10,01/01/2023,Clothing,10
117,Bob,,Other,300,30,nan,Grocery,20
118,Charlie,25,Female,200,20,15/02/2023,Clothing,N/A
119,Alice,35,Female,100,30,InvalidDate,Furniture,5
120,Bob,25,nan,400,20,InvalidDate,nan,20
121,Bob,20,Male,200,40,01/01/2023,nan,10
122,David,,Female,400,40,nan,Grocery,20
123,Eve,20,Female,300,40,01/01/2023,Furniture,N/A
124,Charlie,25,Other,200,40,15/02/2023,Furniture,5
125,Alice,,Other,,40,nan,Electronics,N/A
126,David,,nan,100,,15/02/2023,Clothing,10
127,Eve,20,nan,100,30,01/01/2023,Grocery,15
128,David,35,Female,400,20,InvalidDate,nan,5
129,Eve,25,Male,100,40,15/02/2023,Electronics,10
130,Eve,30,Male,,,nan,Furniture,10
131,Charlie,30,nan,200,,01/01/2023,Clothing,N/A
132,Eve,20,Other,200,,01/01/2023,nan,N/A
133,David,25,Female,300,30,01/01/2023,Electronics,N/A
134,Eve,25,Female,200,40,InvalidDate,Furniture,15
135,Charlie,20,Male,400,,01/01/2023,nan,20
136,Charlie,25,nan,,,01/01/2023,nan,20
137,David,35,Male,300,40,InvalidDate,Furniture,N/A
138,Bob,20,Male,400,30,01/01/2023,Furniture,N/A
139,Bob,35,nan,400,,01/01/2023,Grocery,15
140,Eve,25,Other,400,20,15/02/2023,nan,20
141,Alice,20,Female,100,10,01/01/2023,Furniture,15
142,Eve,25,Other,400,10,InvalidDate,Electronics,10
143,David,20,nan,100,10,15/02/2023,Clothing,20
144,David,25,nan,200,30,01/01/2023,Grocery,N/A
145,David,35,Female,100,,InvalidDate,Furniture,5
146,David,35,Other,400,10,nan,Clothing,10
147,David,25,Female,,10,01/01/2023,Grocery,5
148,Charlie,20,Male,,40,nan,nan,15
149,Bob,30,Male,200,,15/02/2023,Clothing,15
150,David,35,Male,400,,InvalidDate,Grocery,15
151,Alice,35,Other,100,40,15/02/2023,Furniture,N/A
152,Alice,30,Male,,,nan,Furniture,15
153,Alice,25,Female,300,20,nan,Grocery,5
154,Alice,20,Other,400,30,nan,nan,10
155,Charlie,25,Female,400,40,InvalidDate,Grocery,N/A
156,Alice,,nan,300,10,nan,Electronics,10
157,David,35,Other,,,nan,Grocery,15
158,Eve,,Female,300,20,InvalidDate,Grocery,20
159,Alice,35,Female,200,20,nan,Furniture,N/A
160,Charlie,35,Other,100,30,01/01/2023,nan,15
161,Charlie,,nan,100,20,nan,Grocery,N/A
162,Alice,,Other,,,InvalidDate,Clothing,20
163,Eve,25,Male,300,,nan,Furniture,5
164,Alice,,Male,400,20,InvalidDate,Furniture,5
165,Charlie,25,nan,400,,nan,Grocery,5
166,Bob,25,Female,400,,01/01/2023,Clothing,20
167,David,25,Female,200,10,InvalidDate,Grocery,10
168,Charlie,35,Female,200,40,InvalidDate,Clothing,20
169,Alice,35,Other,400,nan,InvalidDate,Furniture,20
170,David,,Other,,,InvalidDate,Clothing,15
171,Alice,35,nan,200,30,nan,Grocery,5
172,Alice,,Male,200,40,nan,Electronics,N/A
173,Bob,35,Female,100,40,01/01/2023,Electronics,10
174,David,20,Male,100,40,01/01/2023,Clothing,N/A
175,David,20,Other,,20,nan,Grocery,15
176,Bob,,Other,200,10,15/02/2023,nan,15
177,Charlie,35,Other,200,10,InvalidDate,Electronics,10
178,Alice,35,Male,300,30,nan,Furniture,N/A
179,Eve,25,nan,,40,01/01/2023,Grocery,10
180,Alice,30,nan,,40,InvalidDate,Grocery,10
181,Alice,,Other,300,,01/01/2023,Electronics,5
182,Charlie,30,Female,300,20,15/02/2023,nan,N/A
183,Alice,30,Male,100,20,InvalidDate,Furniture,5
184,Bob,,Other,,30,15/02/2023,nan,5
185,Bob,35,Male,,10,15/02/2023,Furniture,5
186,David,,Male,300,40,15/02/2023,Electronics,20
187,Eve,30,nan,400,30,nan,Grocery,15
188,Alice,35,Other,400,20,01/01/2023,Furniture,15
189,Alice,20,nan,100,20,InvalidDate,Grocery,20
190,Charlie,,Other,400,20,nan,Clothing,10
191,Bob,,Male,400,40,01/01/2023,Clothing,N/A
192,Eve,35,nan,400,40,nan,Electronics,N/A
193,David,20,Male,200,40,01/01/2023,Electronics,N/A
194,Bob,20,Other,100,,InvalidDate,Electronics,5
195,David,35,Female,300,10,InvalidDate,Clothing,N/A
196,Charlie,25,nan,400,20,InvalidDate,Furniture,N/A
197,Charlie,,nan,200,20,InvalidDate,nan,N/A
198,Alice,,Male,400,,01/01/2023,Electronics,15
199,Eve,30,Male,200,20,nan,nan,20
200,David,35,Female,100,20,InvalidDate,nan,10
201,Bob,30,nan,400,40,InvalidDate,Clothing,20
202,Charlie,30,Other,200,40,InvalidDate,Furniture,N/A
203,Alice,20,Other,,10,15/02/2023,Clothing,10
204,Alice,,nan,,20,InvalidDate,Electronics,10
205,David,30,nan,200,30,InvalidDate,Clothing,20
206,Charlie,20,nan,400,20,01/01/2023,Clothing,20
207,Eve,35,Female,400,20,15/02/2023,Clothing,20
208,Charlie,30,Other,100,10,01/01/2023,Electronics,20
209,David,,Other,100,30,nan,Electronics,5
210,David,30,Male,300,20,15/02/2023,Clothing,15
211,Charlie,35,Male,100,30,01/01/2023,Clothing,15
212,David,30,nan,400,40,01/01/2023,nan,N/A
213,Charlie,,Male,300,40,nan,Furniture,5
214,Bob,20,Female,100,30,nan,nan,10
215,Charlie,,Other,200,20,InvalidDate,Furniture,20
216,Charlie,20,Other,,30,InvalidDate,Furniture,N/A
217,David,25,Male,100,30,15/02/2023,Clothing,10
218,David,,nan,100,40,15/02/2023,nan,15
219,Alice,,Male,200,30,nan,Furniture,10
220,Alice,35,nan,400,,15/02/2023,Furniture,20
221,Bob,30,Female,200,,InvalidDate,Electronics,20
222,Alice,20,Other,100,40,nan,Furniture,15
223,Charlie,20,Female,400,20,01/01/2023,Clothing,20
224,David,35,Other,300,20,nan,Grocery,5
225,Alice,35,Female,100,40,15/02/2023,Electronics,N/A
226,Alice,30,Male,200,20,InvalidDate,Grocery,15
227,Bob,30,Female,300,10,InvalidDate,Clothing,15
228,Bob,,Female,,,01/01/2023,Grocery,10
229,Charlie,25,Male,300,10,01/01/2023,Furniture,15
230,David,30,Other,200,10,nan,Grocery,N/A
231,Bob,35,Other,300,10,InvalidDate,nan,5
232,Alice,30,Male,200,40,01/01/2023,Clothing,10
233,David,20,Female,100,10,01/01/2023,nan,N/A
234,David,25,Female,400,30,nan,Grocery,15
235,Alice,,Female,,20,nan,nan,20
236,Bob,20,nan,400,40,InvalidDate,Electronics,20
237,Alice,20,Other,400,30,15/02/2023,Grocery,N/A
238,David,25,Female,400,30,15/02/2023,nan,5
239,Eve,,Other,200,,InvalidDate,Furniture,20
240,Eve,35,Female,200,,15/02/2023,Grocery,N/A
241,Charlie,,Male,,30,InvalidDate,Electronics,10
242,Alice,30,Male,200,,InvalidDate,Furniture,15
243,Alice,20,Other,200,20,01/01/2023,Grocery,5
244,Charlie,30,Other,200,20,15/02/2023,Furniture,5
245,Charlie,35,Male,200,,InvalidDate,Grocery,10
246,Charlie,30,nan,100,10,15/02/2023,Grocery,5
247,David,,Male,,30,15/02/2023,Clothing,N/A
248,Alice,30,Female,200,20,nan,nan,5
249,David,35,nan,,,15/02/2023,Grocery,5
250,Charlie,35,Male,300,,InvalidDate,Electronics,5
251,Alice,35,nan,100,20,01/01/2023,nan,N/A
252,David,,nan,200,20,15/02/2023,Clothing,15
253,David,35,nan,100,10,InvalidDate,nan,20
254,Charlie,20,Other,100,,nan,nan,5
255,Alice,35,Male,300,,15/02/2023,Grocery,10
256,Charlie,30,Other,,40,01/01/2023,Electronics,10
257,Alice,30,Other,100,10,15/02/2023,Grocery,N/A
258,Eve,30,Female,400,20,InvalidDate,Electronics,15
259,Bob,,Female,300,20,15/02/2023,Electronics,5
260,Bob,30,nan,400,30,15/02/2023,Furniture,N/A
261,Bob,,nan,300,20,nan,Grocery,20
262,Charlie,,Female,400,,15/02/2023,Clothing,15
263,Eve,35,Female,400,20,01/01/2023,nan,15
264,Alice,20,Male,100,,15/02/2023,Furniture,N/A
265,David,35,nan,100,,nan,Clothing,10
266,Alice,35,nan,300,10,InvalidDate,Grocery,15
267,David,,Female,,20,15/02/2023,Electronics,10
268,Alice,,Male,100,10,15/02/2023,Grocery,15
269,Eve,30,Female,100,,nan,Grocery,15
270,David,30,Female,200,20,nan,Furniture,15
271,Charlie,35,Other,100,20,nan,Clothing,20
272,Alice,25,nan,,10,15/02/2023,Furniture,10
273,Alice,25,Male,200,10,01/01/2023,Clothing,20
274,David,30,Other,400,,nan,Furniture,10
275,Charlie,25,nan,400,,InvalidDate,nan,20
276,Charlie,30,Female,200,20,15/02/2023,Electronics,20
277,Eve,,Male,200,20,InvalidDate,Electronics,20
278,Charlie,35,nan,200,40,InvalidDate,Electronics,N/A
279,Charlie,20,Female,300,40,01/01/2023,nan,20
280,Charlie,35,Other,nan,30,InvalidDate,nan,15
281,Bob,30,Male,,,nan,Electronics,5
282,Eve,30,nan,400,30,nan,Electronics,20
283,Alice,35,Other,400,30,15/02/2023,Clothing,5
284,David,30,Female,400,10,01/01/2023,Clothing,5
285,Alice,25,Female,100,10,01/01/2023,Grocery,15
286,Eve,25,nan,400,40,InvalidDate,Furniture,5
287,David,30,Female,200,30,01/01/2023,Clothing,5
288,Eve,30,Male,400,40,InvalidDate,Clothing,5
289,Charlie,25,nan,200,,InvalidDate,Clothing,10
290,David,30,Other,300,20,01/01/2023,Clothing,20
291,Charlie,30,nan,100,10,15/02/2023,nan,20
292,Alice,35,nan,100,,InvalidDate,Grocery,5
293,Alice,20,Other,,,nan,Clothing,15
294,David,25,Female,300,10,nan,Furniture,10
295,David,35,Other,200,10,01/01/2023,Clothing,15
296,Eve,20,Male,300,30,01/01/2023,nan,15
297,Eve,30,Female,100,40,InvalidDate,Electronics,5
298,Charlie,30,nan,200,,InvalidDate,Electronics,N/A
299,David,35,Female,300,30,nan,Grocery,5
300,Alice,30,Female,100,30,InvalidDate,Electronics,N/A
301,Eve,,Male,200,,nan,Clothing,10
302,Eve,35,Female,200,,InvalidDate,nan,N/A
303,Alice,20,Female,100,20,15/02/2023,Grocery,5
304,Eve,35,Female,200,40,15/02/2023,Clothing,5
305,Charlie,25,nan,100,,nan,Electronics,15
306,David,35,Female,400,10,15/02/2023,Furniture,5
307,Alice,30,Other,400,20,15/02/2023,Clothing,5
308,David,30,Female,200,40,01/01/2023,Furniture,20
309,Eve,,Male,200,10,InvalidDate,Furniture,20
310,Eve,,Female,100,10,01/01/2023,Grocery,15
311,Alice,,Female,200,40,nan,nan,N/A
312,Charlie,20,nan,,20,01/01/2023,Electronics,N/A
313,Bob,,Other,400,10,nan,Electronics,20
314,Alice,20,Female,200,30,15/02/2023,Clothing,10
315,Bob,,Other,200,40,01/01/2023,Electronics,20
316,Bob,20,Male,300,40,15/02/2023,Grocery,10
317,Charlie,35,nan,200,,InvalidDate,Electronics,N/A
318,Bob,35,Other,,20,15/02/2023,Clothing,20
319,Bob,30,nan,400,30,InvalidDate,Electronics,5
320,Charlie,20,Female,300,30,15/02/2023,nan,10
321,Bob,25,Male,100,,01/01/2023,Furniture,10
322,Bob,30,nan,100,10,01/01/2023,Furniture,10
323,Bob,35,Female,400,10,15/02/2023,Furniture,N/A
324,Alice,20,Other,100,30,nan,nan,15
325,Alice,,Male,nan,20,nan,Grocery,5
326,Alice,25,Male,200,10,InvalidDate,Clothing,20
327,Charlie,35,Other,400,40,InvalidDate,nan,10
328,Eve,30,Other,300,,15/02/2023,Clothing,N/A
329,Bob,20,Male,200,20,01/01/2023,Grocery,10
330,Bob,25,nan,100,10,InvalidDate,nan,20
331,Charlie,20,Male,100,30,15/02/2023,Electronics,5
332,Bob,,Other,300,,InvalidDate,Grocery,10
333,Alice,30,nan,,10,01/01/2023,Furniture,N/A
334,Eve,20,Female,300,30,InvalidDate,nan,N/A
335,David,35,Male,400,10,15/02/2023,Grocery,15
336,Bob,30,Other,300,,InvalidDate,Grocery,N/A
337,Alice,35,Female,100,40,nan,nan,15
338,David,20,Male,,40,InvalidDate,Furniture,5
339,Eve,30,Male,,30,01/01/2023,Furniture,20
340,David,35,nan,300,40,01/01/2023,Grocery,15
341,Alice,,Other,400,,01/01/2023,Clothing,10
342,David,,Female,100,30,01/01/2023,Grocery,10
343,Charlie,20,Male,200,10,15/02/2023,nan,20
344,David,30,nan,,20,InvalidDate,nan,N/A
345,Bob,25,Female,300,10,InvalidDate,nan,10
346,Bob,30,Female,400,,InvalidDate,Furniture,15
347,Charlie,,Male,400,30,InvalidDate,Electronics,20
348,Alice,35,Female,100,10,15/02/2023,nan,10
349,Bob,25,Male,,30,01/01/2023,nan,N/A
350,Eve,20,nan,100,40,InvalidDate,Clothing,N/A
351,Bob,25,nan,200,20,InvalidDate,Clothing,10
352,Bob,20,Female,200,nan,01/01/2023,Grocery,20
353,Alice,25,Male,200,10,nan,Grocery,5
354,David,20,Other,400,20,nan,Grocery,10
355,Bob,20,nan,,,01/01/2023,nan,N/A
356,Charlie,25,Male,100,,InvalidDate,Clothing,5
357,David,25,Male,100,40,01/01/2023,Grocery,20
358,Eve,20,Male,200,30,InvalidDate,Clothing,N/A
359,Alice,,Female,,30,InvalidDate,nan,20
360,Eve,25,Other,,20,nan,nan,10
361,David,30,Female,300,40,nan,Grocery,20
362,David,35,nan,,,InvalidDate,nan,N/A
363,David,20,Female,,40,InvalidDate,nan,10
364,Eve,20,Male,100,40,InvalidDate,Clothing,N/A
365,David,35,Female,,20,nan,Electronics,N/A
366,Eve,,Male,,30,InvalidDate,Furniture,5
367,David,35,Other,100,40,01/01/2023,Grocery,15
368,Charlie,25,Female,,40,15/02/2023,Electronics,20
369,David,35,Female,100,40,15/02/2023,Grocery,20
370,Eve,20,Female,300,10,InvalidDate,Electronics,5
371,Bob,35,Male,400,40,01/01/2023,nan,20
372,David,30,Male,100,40,InvalidDate,Grocery,5
373,Bob,25,Female,100,,01/01/2023,Electronics,20
374,Charlie,35,Female,nan,10,nan,Furniture,20
375,Alice,20,Other,100,40,nan,nan,N/A
376,Charlie,25,Other,200,40,InvalidDate,Grocery,5
377,David,20,nan,200,20,nan,Grocery,20
378,Bob,,Other,300,20,InvalidDate,Electronics,15
379,Bob,30,Other,100,10,15/02/2023,Grocery,5
380,Eve,,Other,,,01/01/2023,nan,5
381,Bob,30,Male,,10,01/01/2023,Clothing,5
382,Eve,35,Other,400,10,15/02/2023,Electronics,N/A
383,Alice,25,Other,300,20,15/02/2023,Furniture,5
384,David,35,Female,,20,15/02/2023,Grocery,N/A
385,Eve,30,Male,400,,15/02/2023,nan,15
386,Alice,30,nan,,40,nan,Grocery,10
387,Bob,30,nan,400,,01/01/2023,Furniture,N/A
388,Bob,20,Other,200,40,01/01/2023,nan,20
389,Alice,25,nan,200,30,15/02/2023,Furniture,5
390,Bob,35,nan,,20,InvalidDate,nan,10
391,Alice,35,nan,300,30,InvalidDate,Clothing,N/A
392,Eve,,Other,100,30,InvalidDate,nan,20
393,Eve,30,nan,300,20,InvalidDate,Furniture,10
394,Alice,30,Other,300,30,nan,Electronics,15
395,Eve,30,Female,100,10,01/01/2023,Clothing,N/A
396,Eve,35,Female,200,40,01/01/2023,Grocery,N/A
397,Eve,,nan,200,,01/01/2023,Clothing,15
398,Charlie,20,Female,100,20,InvalidDate,Clothing,N/A
399,David,25,Other,400,10,15/02/2023,Grocery,5
400,Bob,20,Female,300,,InvalidDate,nan,N/A
401,Charlie,35,nan,,,01/01/2023,Clothing,5
402,Eve,30,Other,200,nan,InvalidDate,Clothing,N/A
403,Alice,25,Male,,30,15/02/2023,Electronics,20
404,Eve,35,Other,100,30,15/02/2023,Electronics,20
405,David,35,Female,,30,InvalidDate,Furniture,10
406,Eve,35,Male,,30,01/01/2023,Grocery,20
407,Alice,25,Other,300,10,nan,nan,15
408,David,25,Male,100,30,01/01/2023,nan,10
409,Eve,,Male,,20,nan,Furniture,20
410,David,,Male,200,,01/01/2023,nan,5
411,Bob,20,Other,100,10,InvalidDate,nan,N/A
412,Bob,25,Female,200,30,nan,Electronics,20
413,Eve,25,Other,400,,01/01/2023,nan,5
414,David,25,Female,,10,InvalidDate,nan,10
415,Alice,,Other,100,,01/01/2023,Furniture,N/A
416,Eve,35,Other,200,10,15/02/2023,Furniture,20
417,Bob,30,Other,,40,15/02/2023,Clothing,10
418,Bob,,Female,300,10,01/01/2023,nan,20
419,Eve,25,Other,200,30,InvalidDate,nan,10
420,David,,Male,200,,01/01/2023,nan,20
421,Bob,20,Other,400,,InvalidDate,Electronics,5
422,David,25,Male,300,,nan,nan,15
423,Bob,20,nan,400,20,15/02/2023,Electronics,5
424,Bob,25,nan,300,20,nan,Clothing,N/A
425,Charlie,,Female,200,30,InvalidDate,Grocery,20
426,Bob,35,Female,400,40,01/01/2023,nan,15
427,Alice,30,nan,nan,20,15/02/2023,Furniture,15
428,Eve,20,Other,300,10,InvalidDate,Furniture,N/A
429,Eve,,Other,200,30,InvalidDate,nan,N/A
430,David,35,Other,100,40,15/02/2023,Electronics,15
431,Bob,,nan,300,10,01/01/2023,Furniture,N/A
432,Alice,20,Male,300,,15/02/2023,Furniture,N/A
433,David,30,Female,,20,01/01/2023,Clothing,20
434,Charlie,,Male,300,10,01/01/2023,Clothing,5
435,David,25,nan,300,40,InvalidDate,Clothing,10
436,David,35,Male,,30,01/01/2023,Furniture,15
437,Bob,,Other,,10,01/01/2023,Furniture,10
438,Charlie,35,Other,400,30,15/02/2023,nan,15
439,David,25,Male,200,,15/02/2023,nan,15
440,Alice,30,nan,200,40,01/01/2023,Electronics,5
441,Alice,30,Male,400,40,InvalidDate,Furniture,15
442,Eve,25,Other,200,20,15/02/2023,nan,15
443,Charlie,35,Other,300,40,nan,nan,5
444,Charlie,,nan,400,10,InvalidDate,Clothing,N/A
445,Eve,25,Male,400,10,15/02/2023,Clothing,10
446,David,20,Other,200,10,15/02/2023,Clothing,15
447,Charlie,35,Other,100,,nan,Grocery,5
448,Alice,30,Male,200,40,01/01/2023,nan,15
449,Alice,25,Male,100,40,15/02/2023,Clothing,5
450,Bob,30,Female,400,10,nan,Clothing,10
451,Charlie,35,nan,100,20,nan,Furniture,20
452,David,30,nan,300,20,15/02/2023,Clothing,N/A
453,Eve,25,Male,,40,InvalidDate,Furniture,20
454,Eve,35,nan,100,40,15/02/2023,Electronics,5
455,David,20,Other,,30,nan,Clothing,15
456,Bob,25,Male,300,40,15/02/2023,Furniture,N/A
457,Eve,,Male,,10,InvalidDate,Clothing,10
458,Charlie,25,Male,300,,01/01/2023,Electronics,N/A
459,Bob,35,Female,,40,01/01/2023,Clothing,15
460,Charlie,25,nan,,40,15/02/2023,Furniture,20
461,Alice,20,Female,200,10,15/02/2023,Electronics,5
462,Bob,20,Other,100,30,nan,Electronics,20
463,Eve,,nan,,40,InvalidDate,Electronics,N/A
464,Bob,30,Female,400,20,nan,Grocery,15
465,Bob,35,Male,200,20,nan,Furniture,5
466,Bob,35,Female,100,20,01/01/2023,Grocery,15
467,Bob,30,Male,200,,nan,Electronics,15
468,Charlie,20,Female,100,,nan,Grocery,N/A
469,Alice,20,Female,300,40,01/01/2023,Clothing,20
470,David,25,Female,,40,01/01/2023,Grocery,15
471,Bob,,Male,400,40,InvalidDate,nan,15
472,Eve,,Female,200,,InvalidDate,Electronics,15
473,Bob,,nan,200,40,InvalidDate,Electronics,5
474,Eve,25,nan,200,10,15/02/2023,Furniture,15
475,Charlie,,nan,200,30,01/01/2023,Clothing,15
476,Eve,30,Male,,20,15/02/2023,Furniture,N/A
477,David,25,Male,100,20,15/02/2023,Grocery,15
478,Alice,30,nan,,10,InvalidDate,nan,15
479,Eve,25,nan,300,40,01/01/2023,nan,N/A
480,Eve,,nan,,,15/02/2023,nan,5
481,Alice,30,Other,,40,nan,nan,20
482,David,30,nan,300,40,nan,Clothing,N/A
483,Bob,30,Female,,20,01/01/2023,Grocery,5
484,Eve,25,Other,100,20,15/02/2023,nan,20
485,Alice,35,Other,400,,InvalidDate,Electronics,15
486,Charlie,,Male,300,20,15/02/2023,Grocery,N/A
487,Alice,30,Female,200,40,nan,Clothing,15
488,Charlie,35,Male,100,10,nan,nan,N/A
489,David,,Male,400,,InvalidDate,Clothing,20
490,Bob,,Female,100,10,01/01/2023,nan,5
491,Alice,30,Male,100,40,15/02/2023,Electronics,N/A
492,Eve,30,Female,200,,nan,Grocery,5
493,David,25,Female,400,10,15/02/2023,Electronics,15
494,Alice,35,Male,100,,InvalidDate,nan,15
495,Eve,35,nan,200,40,InvalidDate,Furniture,20
496,Alice,30,Male,300,,01/01/2023,Grocery,20
497,Charlie,,Other,200,40,InvalidDate,Clothing,10
498,Alice,30,Male,,,01/01/2023,nan,10
499,Alice,,Female,200,,15/02/2023,Electronics,20
500,Alice,,Other,200,20,nan,Furniture,15
501,David,30,Female,200,40,nan,nan,5
502,Alice,20,nan,100,30,01/01/2023,Clothing,20
503,Eve,35,nan,400,,nan,Electronics,5
504,Charlie,,Other,200,10,01/01/2023,Grocery,10
505,Charlie,,nan,200,20,01/01/2023,Furniture,5
506,Alice,20,nan,,20,15/02/2023,nan,20
507,David,25,Male,,,15/02/2023,nan,15
508,David,20,Male,300,30,InvalidDate,nan,20
509,Eve,20,nan,300,20,01/01/2023,nan,N/A
510,Alice,,nan,,40,15/02/2023,Electronics,N/A
511,Charlie,35,Male,400,,01/01/2023,Grocery,N/A
512,David,20,nan,300,,01/01/2023,Clothing,15
